Model,Reg_RMSE,Reg_MAE,Reg_MAPE(%),Reg_R2,Reg_DirAccuracy(%),Cls_Accuracy(%),Cls_Precision,Cls_Recall,Cls_F1,Cls_AUC
LSTM,546.6766926163946,512.4732666015625,25.423377990722656,-31.02591323852539,42.76315789473684,59.47712418300654,0.0,0.0,0.0,0.42679900744416877
GRU,351.0610256778727,274.0303955078125,13.437840461730957,-12.20704460144043,47.368421052631575,44.44444444444444,0.35802469135802467,0.46774193548387094,0.40559440559440557,0.4574618929457639
Hybrid,896.3647067460878,862.8790893554688,43.02383804321289,-85.1013412475586,49.34210526315789,47.712418300653596,0.40425531914893614,0.6129032258064516,0.48717948717948717,0.4560439560439561
