published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2024-07-28,561.00,570.00,550.00,555.00,0.91,27001.00,14979607.00,1
2024-07-29,555.00,571.20,555.00,561.00,1.08,31053.00,17505069.30,1
2024-07-30,563.00,572.00,555.00,565.00,0.71,26120.00,14703434.00,1
2024-07-31,553.70,612.00,553.70,590.00,4.42,55439.00,32585866.70,1
2024-08-01,580.00,599.90,559.00,581.00,-1.53,27869.00,16169391.30,-1
2024-08-04,580.00,599.90,559.00,581.00,-1.53,27869.00,16169391.30,-1
2024-08-05,592.50,607.90,565.10,586.00,0.86,25941.00,15070046.90,1
2024-08-06,591.90,596.00,534.00,550.00,-6.14,25499.00,14381051.70,-1
2024-08-07,550.00,599.90,544.10,590.00,7.27,44176.00,24736960.00,1
2024-08-08,590.00,609.90,568.40,588.50,-0.25,41781.00,24368872.20,-1
2024-08-11,577.20,599.00,566.00,599.00,1.78,32926.00,19212576.00,1
2024-08-12,600.00,622.00,570.00,599.00,0.00,50778.00,30166145.00,0
2024-08-13,588.00,597.00,575.40,597.00,-0.33,23380.00,13638006.30,-1
2024-08-14,585.10,585.10,565.10,581.00,-2.68,25811.00,14770546.50,-1
2024-08-15,571.10,586.00,544.30,548.00,-5.68,49060.00,27540214.80,-1
2024-08-18,550.00,555.00,511.00,543.00,-0.91,26804.00,14342766.20,-1
2024-08-19,550.00,555.00,511.00,543.00,-0.91,26804.00,14342766.20,-1
2024-08-20,550.00,555.00,511.00,543.00,-0.91,26804.00,14342766.20,-1
2024-08-21,538.00,553.00,527.10,550.00,1.29,18671.00,10017934.70,1
2024-08-22,546.00,560.00,537.10,547.00,-0.55,17248.00,9432959.10,-1
2024-08-25,540.00,550.00,518.10,525.00,-4.02,10033.00,5327294.10,-1
2024-08-26,540.00,550.00,518.10,525.00,-4.02,10033.00,5327294.10,-1
2024-08-27,515.50,535.00,500.00,500.00,-4.76,15788.00,8059202.90,-1
2024-08-28,510.00,525.00,493.00,510.00,2.00,10143.00,5143948.10,1
2024-08-29,506.10,530.00,495.20,497.00,-2.55,11325.00,5772323.90,-1
2024-09-01,505.00,524.90,487.10,523.00,5.23,35186.00,17886974.40,1
2024-09-02,529.90,543.00,513.00,543.00,3.82,19884.00,10645463.00,1
2024-09-03,552.00,555.00,529.00,531.00,-2.21,13867.00,7404762.10,-1
2024-09-04,524.00,531.00,497.00,505.00,-4.90,20410.00,10421386.20,-1
2024-09-05,505.00,545.00,495.00,545.00,7.92,19324.00,9798445.80,1
2024-09-08,534.10,550.80,520.00,550.00,0.92,25378.00,13706681.60,1
2024-09-09,539.00,545.00,521.00,528.90,-3.84,11734.00,6197784.90,-1
2024-09-10,521.10,532.60,510.00,522.00,-1.30,9172.00,4782446.30,-1
2024-09-11,531.90,531.90,502.00,524.00,0.38,12339.00,6295474.50,1
2024-09-12,533.00,535.00,513.60,535.00,2.10,18093.00,9426164.50,1
2024-09-15,535.00,545.00,518.00,529.00,-1.12,18740.00,9975999.90,-1
2024-09-16,520.00,529.90,481.00,523.90,-0.96,34533.00,17376316.70,-1
2024-09-17,520.00,529.90,481.00,523.90,-0.96,34533.00,17376316.70,-1
2024-09-18,522.00,522.00,503.50,512.00,-2.27,6858.00,3512205.40,-1
2024-09-19,522.00,522.00,503.50,512.00,-2.27,6858.00,3512205.40,-1
2024-09-22,518.50,519.00,490.00,497.00,-2.93,20331.00,10212698.90,-1
2024-09-23,497.00,506.00,460.00,469.20,-5.59,14275.00,6896947.90,-1
2024-09-24,478.50,478.50,459.00,469.00,-0.04,10659.00,4948895.00,-1
2024-09-25,459.70,502.00,451.00,501.00,6.82,6464.00,3046166.00,1
