published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-05-15,506.70,506.70,494.10,497.36,0.10,7177.00,3563472.70,1
2025-05-18,497.00,506.50,476.40,480.42,-3.41,14685.00,7131934.20,-1
2025-05-19,472.50,502.40,472.50,482.05,0.34,8190.00,3957851.00,1
2025-05-20,472.50,500.00,472.50,497.36,3.18,12382.00,6084503.90,1
2025-05-21,507.30,515.00,493.00,494.73,-0.53,10155.00,5080036.60,-1
2025-05-22,494.00,494.00,478.40,480.63,-2.85,10831.00,5230887.70,-1
2025-05-25,484.00,491.90,475.00,477.33,-0.69,8193.00,3933213.40,-1
2025-05-26,485.00,495.70,467.80,476.49,-0.18,6741.00,3225769.50,-1
2025-05-27,467.00,485.00,467.00,475.19,-0.27,2282.00,1086298.00,-1
2025-05-28,465.70,493.90,465.70,473.41,-0.37,5735.00,2725222.70,-1
2025-05-29,465.70,493.90,465.70,473.41,-0.37,5735.00,2725222.70,-1
2025-06-01,465.70,493.90,465.70,473.41,-0.37,5735.00,2725222.70,-1
2025-06-02,482.80,482.80,467.00,477.49,0.86,5724.00,2721940.10,1
2025-06-03,482.00,482.00,468.20,470.91,-1.38,4898.00,2312418.00,-1
2025-06-04,461.50,480.00,461.50,470.73,-0.04,4180.00,1961729.10,-1
2025-06-05,461.40,480.00,461.40,473.92,0.68,7216.00,3404939.20,1
2025-06-08,478.00,478.00,466.10,469.62,-0.91,6089.00,2861447.30,-1
2025-06-09,473.00,497.60,464.00,492.37,4.84,25889.00,12599582.00,1
2025-06-10,482.60,509.90,482.60,491.52,-0.17,11969.00,5939024.70,-1
2025-06-11,500.00,500.00,482.50,485.85,-1.15,4458.00,2168811.00,-1
2025-06-12,493.00,493.00,480.00,485.77,-0.02,11088.00,5350465.60,-1
2025-06-15,478.00,490.00,474.00,476.23,-1.96,12586.00,6019729.00,-1
2025-06-16,468.00,494.90,468.00,476.30,0.01,13225.00,6373115.70,1
2025-06-17,484.00,489.60,474.50,483.11,1.43,5756.00,2768128.60,1
2025-06-18,473.50,495.70,473.50,490.25,1.48,17512.00,8548622.40,1
2025-06-19,490.00,507.00,481.00,490.74,0.10,15935.00,7805670.70,1
2025-06-22,500.00,500.00,471.80,476.39,-2.92,5773.00,2777143.50,-1
2025-06-23,485.60,485.60,466.70,482.39,1.26,8354.00,3984432.50,1
2025-06-24,489.90,489.90,466.00,468.85,-2.81,27491.00,12988178.40,-1
2025-06-25,478.20,509.90,476.10,504.57,7.62,51237.00,25407148.90,1
2025-06-26,504.00,514.00,496.10,508.29,0.74,24853.00,12627630.50,1
2025-06-29,500.00,541.00,500.00,538.39,5.92,96311.00,51447358.60,1
2025-06-30,527.70,545.00,511.00,521.18,-3.20,59468.00,31090005.30,-1
2025-07-01,513.10,527.00,513.10,516.37,-0.92,15260.00,7881159.10,-1
2025-07-02,516.00,534.00,510.40,529.07,2.46,44590.00,23401026.80,1
2025-07-03,535.90,535.90,514.00,517.38,-2.21,24163.00,12612992.00,-1
2025-07-06,512.10,515.00,500.00,505.75,-2.25,19717.00,9995960.20,-1
2025-07-07,501.50,505.70,494.00,496.09,-1.91,12654.00,6316720.70,-1
2025-07-08,490.20,497.00,480.40,486.96,-1.84,24043.00,11710624.80,-1
2025-07-09,494.00,494.00,486.10,487.43,0.10,11829.00,5780383.10,1
2025-07-10,495.60,495.60,483.50,484.49,-0.60,16336.00,7990516.30,-1
2025-07-13,494.10,494.10,477.00,480.91,-0.74,14404.00,6977498.30,-1
2025-07-14,478.00,487.50,477.00,477.86,-0.63,13231.00,6340001.40,-1
2025-07-15,469.00,489.90,469.00,480.13,0.48,12216.00,5871924.00,1
2025-07-16,477.20,504.90,477.20,495.64,3.23,12751.00,6249186.70,1
2025-07-17,504.00,509.70,493.00,505.53,2.00,18614.00,9329183.00,1
2025-07-20,512.50,512.50,491.00,493.64,-2.35,22850.00,11497160.70,-1
2025-07-21,493.20,503.00,491.00,499.52,1.19,9249.00,4600685.30,1
2025-07-22,505.00,517.00,497.00,513.07,2.71,32789.00,16596740.10,1
2025-07-23,523.30,523.30,503.00,507.91,-1.01,18361.00,9390379.60,-1
2025-07-24,518.00,528.00,501.10,523.26,3.02,38878.00,20119872.50,1
2025-07-27,532.90,532.90,511.00,515.95,-1.40,48196.00,25164708.30,-1
2025-07-28,520.00,520.00,500.00,505.42,-2.04,19264.00,9736417.80,-1
2025-07-29,509.30,520.00,505.00,506.00,-0.43,18043.00,9231151.80,-1
2025-07-30,515.90,515.90,495.00,497.96,-1.59,16535.00,8303058.60,-1
2025-07-31,493.00,498.00,488.10,490.02,-1.59,14583.00,7184656.80,-1
2025-08-03,490.00,495.10,485.00,485.49,-0.92,10252.00,4992062.90,-1
2025-08-04,486.00,494.50,482.30,486.85,0.28,10000.00,4859339.90,1
2025-08-05,485.00,490.00,480.00,482.67,-0.86,12505.00,6053407.70,-1
2025-08-06,483.00,488.00,479.00,483.71,0.22,5548.00,2674531.50,1
2025-08-07,474.10,504.00,474.10,486.40,0.56,11792.00,5728354.20,1
2025-08-10,474.10,504.00,474.10,486.40,0.56,11792.00,5728354.20,1
2025-08-11,488.00,490.00,478.50,481.06,-1.10,4970.00,2401316.30,-1
2025-08-12,471.50,500.30,471.50,483.28,0.46,5712.00,2766138.10,1
2025-08-13,484.00,492.00,477.00,482.04,-0.26,7399.00,3581783.50,-1
2025-08-14,490.00,490.00,479.00,482.63,0.12,8062.00,3879046.60,1
2025-08-17,475.00,484.90,473.00,478.54,-0.85,9064.00,4336077.40,-1
2025-08-18,477.10,489.90,476.20,488.87,2.16,9793.00,4735086.70,1
2025-08-19,480.20,490.00,480.20,485.61,-0.67,5456.00,2656548.50,-1
2025-08-20,480.00,487.80,479.00,481.55,-0.84,3451.00,1667604.30,-1
2025-08-21,480.20,485.00,476.70,477.88,-0.76,6044.00,2893730.90,-1
2025-08-24,477.00,479.50,473.10,475.00,-0.60,3464.00,1648620.10,-1
2025-08-25,473.00,478.00,468.20,476.25,0.26,3692.00,1744315.30,1
2025-08-26,474.00,478.90,471.00,475.36,-0.19,643.00,304854.00,-1
2025-08-27,471.20,481.90,471.20,475.77,0.09,5855.00,2796467.30,1
2025-08-28,484.00,484.00,470.10,474.18,-0.33,6792.00,3228469.10,-1
2025-08-31,475.00,475.00,466.40,468.49,-1.20,9503.00,4461075.90,-1
2025-09-01,469.00,470.00,465.00,465.75,-0.58,8272.00,3854185.10,-1
2025-09-02,465.10,470.00,461.00,463.77,-0.43,5190.00,2413013.40,-1
2025-09-03,460.10,467.00,455.20,456.82,-1.50,7487.00,3436562.00,-1
2025-09-04,451.00,459.00,445.10,450.15,-1.46,10245.00,4594881.10,-1
2025-09-07,445.10,445.10,440.00,441.04,-2.02,10073.00,4456202.90,-1
2025-09-08,436.70,445.00,436.00,436.33,-1.07,4646.00,2041723.80,-1
2025-09-09,436.70,445.00,436.00,436.33,-1.07,4646.00,2041723.80,-1
2025-09-10,436.70,445.00,436.00,436.33,-1.07,4646.00,2041723.80,-1
2025-09-11,436.70,445.00,436.00,436.33,-1.07,4646.00,2041723.80,-1
2025-09-14,436.70,445.00,436.00,436.33,-1.07,4646.00,2041723.80,-1
2025-09-15,436.70,445.00,436.00,436.33,-1.07,4646.00,2041723.80,-1
2025-09-16,436.70,445.00,436.00,436.33,-1.07,4646.00,2041723.80,-1
2025-09-17,436.70,445.00,436.00,436.33,-1.07,4646.00,2041723.80,-1
2025-09-21,431.20,461.70,428.00,448.50,2.79,11788.00,5224837.30,1
2025-09-22,431.20,461.70,428.00,448.50,2.79,11788.00,5224837.30,1
2025-09-23,456.90,458.00,448.00,454.50,1.34,6947.00,3139388.40,1
2025-09-24,450.00,472.00,448.80,469.90,3.39,9467.00,4359432.50,1
2025-09-25,475.00,479.00,443.10,469.00,-0.19,4611.00,2159929.40,-1
2025-09-28,474.00,474.00,456.10,464.90,-0.87,1061.00,488236.10,-1
2025-09-29,474.00,474.00,456.10,464.90,-0.87,1061.00,488236.10,-1
2025-09-30,474.00,474.00,456.10,464.90,-0.87,1061.00,488236.10,-1
2025-10-01,474.00,474.00,456.10,464.90,-0.87,1061.00,488236.10,-1
2025-10-02,474.00,474.00,456.10,464.90,-0.87,1061.00,488236.10,-1
2025-10-05,474.00,474.00,456.10,464.90,-0.87,1061.00,488236.10,-1
2025-10-06,474.00,474.00,456.10,464.90,-0.87,1061.00,488236.10,-1
2025-10-07,473.90,474.00,442.20,456.00,-1.91,10539.00,4739433.40,-1
2025-10-08,447.00,447.20,425.40,440.90,-3.31,5374.00,2335304.30,-1
2025-10-09,449.70,467.10,434.70,444.80,0.88,6820.00,3006809.40,1
2025-10-12,436.00,436.00,417.00,420.00,-5.58,8736.00,3709471.30,-1
2025-10-13,420.00,435.00,410.00,435.00,3.57,6501.00,2719389.50,1
2025-10-14,435.10,435.10,417.80,417.80,-3.95,2031.00,859384.50,-1
2025-10-15,412.00,420.00,405.10,417.00,-0.19,3174.00,1301490.60,-1
2025-10-16,412.00,417.60,405.00,405.00,-2.88,3764.00,1544829.50,-1
2025-10-19,413.00,413.00,395.00,395.00,-2.47,5781.00,2303518.70,-1
2025-10-20,413.00,413.00,395.00,395.00,-2.47,5781.00,2303518.70,-1
2025-10-21,413.00,413.00,395.00,395.00,-2.47,5781.00,2303518.70,-1
2025-10-22,413.00,413.00,395.00,395.00,-2.47,5781.00,2303518.70,-1
2025-10-23,413.00,413.00,395.00,395.00,-2.47,5781.00,2303518.70,-1
2025-10-26,388.00,395.60,386.00,395.40,0.10,3153.00,1225802.40,1
2025-10-27,388.00,395.60,386.00,395.40,0.10,3153.00,1225802.40,1
2025-10-28,400.00,409.00,395.20,401.00,1.42,5936.00,2393092.60,1
2025-10-29,397.00,413.00,397.00,413.00,2.99,6757.00,2740394.40,1
2025-10-30,404.90,429.00,400.00,423.40,2.52,6668.00,2768668.40,1
2025-11-02,416.00,436.00,416.00,435.90,2.95,7355.00,3171046.90,1
2025-11-03,444.00,444.00,415.20,420.50,-3.53,7325.00,3089378.20,-1
2025-11-04,420.50,427.90,416.60,423.00,0.59,3430.00,1446214.40,1
2025-11-05,428.00,428.00,416.00,424.00,0.24,1024.00,430407.00,1
2025-11-06,428.00,428.00,412.00,419.00,-1.18,4919.00,2047899.80,-1
2025-11-09,420.00,420.00,412.00,413.00,-1.43,2174.00,899798.60,-1
2025-11-10,410.60,415.00,406.30,413.90,0.22,5011.00,2054410.00,1
2025-11-11,410.00,418.20,408.00,417.00,0.75,1596.00,658821.00,1
